var,varDescrip,Keep,renamedVar,notes
hv246j,owns bulls,,,
hv247,has bank account,1,bank,
hv252,frequency household members smoke inside the house,,,
hv271,wealth index factor score (5 decimals),,,
hml1,number of mosquito bed nets,,,
hml1a,number of mosquito bed nets with specific information,,,
hml2,number of children under mosquito bed net previous night,,,
shdistrict,district,1,district_id,
sheligchiv,household selected for hiv testing for children,,,
sheligdvw,household selected for domestic violence for women,,,
sheligdvm,household selected for domestic violence for men,,,
sh104a,distance from the house,,,
sh106a,water is stored,,,
sh106b,how is water stored,,,
sh110g,computer,1,computer,
sh118f,boat without a motor,1,boat,
sh123e,plan to get insurance,,,
hvidx_01,line number,,,
hvidx_02,line number,,,
hvidx_03,line number,,,
hvidx_04,line number,,,
hvidx_05,line number,,,
hvidx_06,line number,,,
hvidx_07,line number,,,
hvidx_08,line number,,,
hvidx_09,line number,,,
hvidx_10,line number,,,
hvidx_11,line number,,,
hvidx_12,line number,,,
hvidx_13,line number,,,
hvidx_14,line number,,,
hvidx_15,line number,,,
hvidx_16,line number,,,
hvidx_17,line number,,,
hvidx_18,line number,,,
hvidx_19,line number,,,
hvidx_20,line number,,,
hvidx_21,line number,,,
hvidx_22,line number,,,
hv101_01,relationship to head,,,
hv101_02,relationship to head,,,
hv101_03,relationship to head,,,
hv101_04,relationship to head,,,
hv101_05,relationship to head,,,
hv101_06,relationship to head,,,
hv101_07,relationship to head,,,
hv101_08,relationship to head,,,
hv101_09,relationship to head,,,
hv101_10,relationship to head,,,
hv101_11,relationship to head,,,
hv101_12,relationship to head,,,
hv101_13,relationship to head,,,
hv101_14,relationship to head,,,
hv101_15,relationship to head,,,
hv101_16,relationship to head,,,
hv101_17,relationship to head,,,
hv101_18,relationship to head,,,
hv101_19,relationship to head,,,
hv101_20,relationship to head,,,
hv101_21,relationship to head,,,
hv101_22,relationship to head,,,
hv102_01,usual resident,,,
hv102_02,usual resident,,,
hv102_03,usual resident,,,
hv102_04,usual resident,,,
hv102_05,usual resident,,,
hv102_06,usual resident,,,
hv102_07,usual resident,,,
hv102_08,usual resident,,,
hv102_09,usual resident,,,
hv102_10,usual resident,,,
hv102_11,usual resident,,,
hv102_12,usual resident,,,
hv102_13,usual resident,,,
hv102_14,usual resident,,,
hv102_15,usual resident,,,
hv102_16,usual resident,,,
hv102_17,usual resident,,,
hv102_18,usual resident,,,
hv102_19,usual resident,,,
hv102_20,usual resident,,,
hv102_21,usual resident,,,
hv102_22,usual resident,,,
hv103_01,slept last night,,,
hv103_02,slept last night,,,
hv103_03,slept last night,,,
hv103_04,slept last night,,,
hv103_05,slept last night,,,
hv103_06,slept last night,,,
hv103_07,slept last night,,,
hv103_08,slept last night,,,
hv103_09,slept last night,,,
hv103_10,slept last night,,,
hv103_11,slept last night,,,
hv103_12,slept last night,,,
hv103_13,slept last night,,,
hv103_14,slept last night,,,
hv103_15,slept last night,,,
hv103_16,slept last night,,,
hv103_17,slept last night,,,
hv103_18,slept last night,,,
hv103_19,slept last night,,,
hv103_20,slept last night,,,
hv103_21,slept last night,,,
hv103_22,slept last night,,,
hv104_01,sex of household member,,,
hv104_02,sex of household member,,,
hv104_03,sex of household member,,,
hv104_04,sex of household member,,,
hv104_05,sex of household member,,,
hv104_06,sex of household member,,,
hv104_07,sex of household member,,,
hv104_08,sex of household member,,,
hv104_09,sex of household member,,,
hv104_10,sex of household member,,,
hv104_11,sex of household member,,,
hv104_12,sex of household member,,,
hv104_13,sex of household member,,,
hv104_14,sex of household member,,,
hv104_15,sex of household member,,,
hv104_16,sex of household member,,,
hv104_17,sex of household member,,,
hv104_18,sex of household member,,,
hv104_19,sex of household member,,,
hv104_20,sex of household member,,,
hv104_21,sex of household member,,,
hv104_22,sex of household member,,,
hv105_01,age of household members,,,
hv105_02,age of household members,,,
hv105_03,age of household members,,,
hv105_04,age of household members,,,
hv105_05,age of household members,,,
hv105_06,age of household members,,,
hv105_07,age of household members,,,
hv105_08,age of household members,,,
hv105_09,age of household members,,,
hv105_10,age of household members,,,
hv105_11,age of household members,,,
hv105_12,age of household members,,,
hv105_13,age of household members,,,
hv105_14,age of household members,,,
hv105_15,age of household members,,,
hv105_16,age of household members,,,
hv105_17,age of household members,,,
hv105_18,age of household members,,,
hv105_19,age of household members,,,
hv105_20,age of household members,,,
hv105_21,age of household members,,,
hv105_22,age of household members,,,
hv106_01,highest educational level attained,,,
hv106_02,highest educational level attained,,,
hv106_03,highest educational level attained,,,
hv106_04,highest educational level attained,,,
hv106_05,highest educational level attained,,,
hv106_06,highest educational level attained,,,
hv106_07,highest educational level attained,,,
hv106_08,highest educational level attained,,,
hv106_09,highest educational level attained,,,
hv106_10,highest educational level attained,,,
hv106_11,highest educational level attained,,,
hv106_12,highest educational level attained,,,
hv106_13,highest educational level attained,,,
hv106_14,highest educational level attained,,,
hv106_15,highest educational level attained,,,
hv106_16,highest educational level attained,,,
hv106_17,highest educational level attained,,,
hv106_18,highest educational level attained,,,
hv106_19,highest educational level attained,,,
hv106_20,highest educational level attained,,,
hv106_21,highest educational level attained,,,
hv106_22,highest educational level attained,,,
hv107_01,highest year of education completed,,,
hv107_02,highest year of education completed,,,
hv107_03,highest year of education completed,,,
hv107_04,highest year of education completed,,,
hv107_05,highest year of education completed,,,
hv107_06,highest year of education completed,,,
hv107_07,highest year of education completed,,,
hv107_08,highest year of education completed,,,
hv107_09,highest year of education completed,,,
hv107_10,highest year of education completed,,,
hv107_11,highest year of education completed,,,
hv107_12,highest year of education completed,,,
hv107_13,highest year of education completed,,,
hv107_14,highest year of education completed,,,
hv107_15,highest year of education completed,,,
hv107_16,highest year of education completed,,,
hv107_17,highest year of education completed,,,
hv107_18,highest year of education completed,,,
hv107_19,highest year of education completed,,,
hv107_20,highest year of education completed,,,
hv107_21,highest year of education completed,,,
hv107_22,highest year of education completed,,,
hv108_01,education completed in single years,,,
hv108_02,education completed in single years,,,
hv108_03,education completed in single years,,,
hv108_04,education completed in single years,,,
hv108_05,education completed in single years,,,
hv108_06,education completed in single years,,,
hv108_07,education completed in single years,,,
hv108_08,education completed in single years,,,
hv108_09,education completed in single years,,,
hv108_10,education completed in single years,,,
hv108_11,education completed in single years,,,
hv108_12,education completed in single years,,,
hv108_13,education completed in single years,,,
hv108_14,education completed in single years,,,
hv108_15,education completed in single years,,,
hv108_16,education completed in single years,,,
hv108_17,education completed in single years,,,
hv108_18,education completed in single years,,,
hv108_19,education completed in single years,,,
hv108_20,education completed in single years,,,
hv108_21,education completed in single years,,,
hv108_22,education completed in single years,,,
hv109_01,educational attainment,,,
hv109_02,educational attainment,,,
hv109_03,educational attainment,,,
hv109_04,educational attainment,,,
hv109_05,educational attainment,,,
hv109_06,educational attainment,,,
hv109_07,educational attainment,,,
hv109_08,educational attainment,,,
hv109_09,educational attainment,,,
hv109_10,educational attainment,,,
hv109_11,educational attainment,,,
hv109_12,educational attainment,,,
hv109_13,educational attainment,,,
hv109_14,educational attainment,,,
hv109_15,educational attainment,,,
hv109_16,educational attainment,,,
hv109_17,educational attainment,,,
hv109_18,educational attainment,,,
hv109_19,educational attainment,,,
hv109_20,educational attainment,,,
hv109_21,educational attainment,,,
hv109_22,educational attainment,,,
hv111_01,mother alive,,,
hv111_02,mother alive,,,
hv111_03,mother alive,,,
hv111_04,mother alive,,,
hv111_05,mother alive,,,
hv111_06,mother alive,,,
hv111_07,mother alive,,,
hv111_08,mother alive,,,
hv111_09,mother alive,,,
hv111_10,mother alive,,,
hv111_11,mother alive,,,
hv111_12,mother alive,,,
hv111_13,mother alive,,,
hv111_14,mother alive,,,
hv111_15,mother alive,,,
hv111_16,mother alive,,,
hv111_17,mother alive,,,
hv111_18,mother alive,,,
hv111_19,mother alive,,,
hv111_20,mother alive,,,
hv111_21,mother alive,,,
hv111_22,mother alive,,,
hv112_01,mother's line number,,,
hv112_02,mother's line number,,,
hv112_03,mother's line number,,,
hv112_04,mother's line number,,,
hv112_05,mother's line number,,,
hv112_06,mother's line number,,,
hv112_07,mother's line number,,,
hv112_08,mother's line number,,,
hv112_09,mother's line number,,,
hv112_10,mother's line number,,,
hv112_11,mother's line number,,,
hv112_12,mother's line number,,,
hv112_13,mother's line number,,,
hv112_14,mother's line number,,,
hv112_15,mother's line number,,,
hv112_16,mother's line number,,,
hv112_17,mother's line number,,,
hv112_18,mother's line number,,,
hv112_19,mother's line number,,,
hv112_20,mother's line number,,,
hv112_21,mother's line number,,,
hv112_22,mother's line number,,,
hv113_01,father alive,,,
hv113_02,father alive,,,
hv113_03,father alive,,,
hv113_04,father alive,,,
hv113_05,father alive,,,
hv113_06,father alive,,,
hv113_07,father alive,,,
hv113_08,father alive,,,
hv113_09,father alive,,,
hv113_10,father alive,,,
hv113_11,father alive,,,
hv113_12,father alive,,,
hv113_13,father alive,,,
hv113_14,father alive,,,
hv113_15,father alive,,,
hv113_16,father alive,,,
hv113_17,father alive,,,
hv113_18,father alive,,,
hv113_19,father alive,,,
hv113_20,father alive,,,
hv113_21,father alive,,,
hv113_22,father alive,,,
hv114_01,father's line number,,,
hv114_02,father's line number,,,
hv114_03,father's line number,,,
hv114_04,father's line number,,,
hv114_05,father's line number,,,
hv114_06,father's line number,,,
hv114_07,father's line number,,,
hv114_08,father's line number,,,
hv114_09,father's line number,,,
hv114_10,father's line number,,,
hv114_11,father's line number,,,
hv114_12,father's line number,,,
hv114_13,father's line number,,,
hv114_14,father's line number,,,
hv114_15,father's line number,,,
hv114_16,father's line number,,,
hv114_17,father's line number,,,
hv114_18,father's line number,,,
hv114_19,father's line number,,,
hv114_20,father's line number,,,
hv114_21,father's line number,,,
hv114_22,father's line number,,,
hv115_01,current marital status,,,
hv115_02,current marital status,,,
hv115_03,current marital status,,,
hv115_04,current marital status,,,
hv115_05,current marital status,,,
hv115_06,current marital status,,,
hv115_07,current marital status,,,
hv115_08,current marital status,,,
hv115_09,current marital status,,,
hv115_10,current marital status,,,
hv115_11,current marital status,,,
hv115_12,current marital status,,,
hv115_13,current marital status,,,
hv115_14,current marital status,,,
hv115_15,current marital status,,,
hv115_16,current marital status,,,
hv115_17,current marital status,,,
hv115_18,current marital status,,,
hv115_19,current marital status,,,
hv115_20,current marital status,,,
hv115_21,current marital status,,,
hv115_22,current marital status,,,
hv116_01,"currently, formerly, never married",,,
hv116_02,"currently, formerly, never married",,,
hv116_03,"currently, formerly, never married",,,
hv116_04,"currently, formerly, never married",,,
hv116_05,"currently, formerly, never married",,,
hv116_06,"currently, formerly, never married",,,
hv116_07,"currently, formerly, never married",,,
hv116_08,"currently, formerly, never married",,,
hv116_09,"currently, formerly, never married",,,
hv116_10,"currently, formerly, never married",,,
hv116_11,"currently, formerly, never married",,,
hv116_12,"currently, formerly, never married",,,
hv116_13,"currently, formerly, never married",,,
hv116_14,"currently, formerly, never married",,,
hv116_15,"currently, formerly, never married",,,
hv116_16,"currently, formerly, never married",,,
hv116_17,"currently, formerly, never married",,,
hv116_18,"currently, formerly, never married",,,
hv116_19,"currently, formerly, never married",,,
hv116_20,"currently, formerly, never married",,,
hv116_21,"currently, formerly, never married",,,
hv116_22,"currently, formerly, never married",,,
hv117_01,eligibility for female interview,,,
hv117_02,eligibility for female interview,,,
hv117_03,eligibility for female interview,,,
hv117_04,eligibility for female interview,,,
hv117_05,eligibility for female interview,,,
hv117_06,eligibility for female interview,,,
hv117_07,eligibility for female interview,,,
hv117_08,eligibility for female interview,,,
hv117_09,eligibility for female interview,,,
hv117_10,eligibility for female interview,,,
hv117_11,eligibility for female interview,,,
hv117_12,eligibility for female interview,,,
hv117_13,eligibility for female interview,,,
hv117_14,eligibility for female interview,,,
hv117_15,eligibility for female interview,,,
hv117_16,eligibility for female interview,,,
hv117_17,eligibility for female interview,,,
hv117_18,eligibility for female interview,,,
hv117_19,eligibility for female interview,,,
hv117_20,eligibility for female interview,,,
hv117_21,eligibility for female interview,,,
hv117_22,eligibility for female interview,,,
hv118_01,eligibility for male interview,,,
hv118_02,eligibility for male interview,,,
hv118_03,eligibility for male interview,,,
hv118_04,eligibility for male interview,,,
hv118_05,eligibility for male interview,,,
hv118_06,eligibility for male interview,,,
hv118_07,eligibility for male interview,,,
hv118_08,eligibility for male interview,,,
hv118_09,eligibility for male interview,,,
hv118_10,eligibility for male interview,,,
hv118_11,eligibility for male interview,,,
hv118_12,eligibility for male interview,,,
hv118_13,eligibility for male interview,,,
hv118_14,eligibility for male interview,,,
hv118_15,eligibility for male interview,,,
hv118_16,eligibility for male interview,,,
hv118_17,eligibility for male interview,,,
hv118_18,eligibility for male interview,,,
hv118_19,eligibility for male interview,,,
hv118_20,eligibility for male interview,,,
hv118_21,eligibility for male interview,,,
hv118_22,eligibility for male interview,,,
hv120_01,children eligibility for height/weight and hemoglobin,,,
hv120_02,children eligibility for height/weight and hemoglobin,,,
hv120_03,children eligibility for height/weight and hemoglobin,,,
hv120_04,children eligibility for height/weight and hemoglobin,,,
hv120_05,children eligibility for height/weight and hemoglobin,,,
hv120_06,children eligibility for height/weight and hemoglobin,,,
hv120_07,children eligibility for height/weight and hemoglobin,,,
hv120_08,children eligibility for height/weight and hemoglobin,,,
hv120_09,children eligibility for height/weight and hemoglobin,,,
hv120_10,children eligibility for height/weight and hemoglobin,,,
hv120_11,children eligibility for height/weight and hemoglobin,,,
hv120_12,children eligibility for height/weight and hemoglobin,,,
hv120_13,children eligibility for height/weight and hemoglobin,,,
hv120_14,children eligibility for height/weight and hemoglobin,,,
hv120_15,children eligibility for height/weight and hemoglobin,,,
hv120_16,children eligibility for height/weight and hemoglobin,,,
hv120_17,children eligibility for height/weight and hemoglobin,,,
hv120_18,children eligibility for height/weight and hemoglobin,,,
hv120_19,children eligibility for height/weight and hemoglobin,,,
hv120_20,children eligibility for height/weight and hemoglobin,,,
hv120_21,children eligibility for height/weight and hemoglobin,,,
hv120_22,children eligibility for height/weight and hemoglobin,,,
hv121_01,member attended school during current school year,,,
hv121_02,member attended school during current school year,,,
hv121_03,member attended school during current school year,,,
hv121_04,member attended school during current school year,,,
hv121_05,member attended school during current school year,,,
hv121_06,member attended school during current school year,,,
hv121_07,member attended school during current school year,,,
hv121_08,member attended school during current school year,,,
hv121_09,member attended school during current school year,,,
hv121_10,member attended school during current school year,,,
hv121_11,member attended school during current school year,,,
hv121_12,member attended school during current school year,,,
hv121_13,member attended school during current school year,,,
hv121_14,member attended school during current school year,,,
hv121_15,member attended school during current school year,,,
hv121_16,member attended school during current school year,,,
hv121_17,member attended school during current school year,,,
hv121_18,member attended school during current school year,,,
hv121_19,member attended school during current school year,,,
hv121_20,member attended school during current school year,,,
hv121_21,member attended school during current school year,,,
hv121_22,member attended school during current school year,,,
hv122_01,educational level during current school year,,,
hv122_02,educational level during current school year,,,
hv122_03,educational level during current school year,,,
hv122_04,educational level during current school year,,,
hv122_05,educational level during current school year,,,
hv122_06,educational level during current school year,,,
hv122_07,educational level during current school year,,,
hv122_08,educational level during current school year,,,
hv122_09,educational level during current school year,,,
hv122_10,educational level during current school year,,,
hv122_11,educational level during current school year,,,
hv122_12,educational level during current school year,,,
hv122_13,educational level during current school year,,,
hv122_14,educational level during current school year,,,
hv122_15,educational level during current school year,,,
hv122_16,educational level during current school year,,,
hv122_17,educational level during current school year,,,
hv122_18,educational level during current school year,,,
hv122_19,educational level during current school year,,,
hv122_20,educational level during current school year,,,
hv122_21,educational level during current school year,,,
hv122_22,educational level during current school year,,,
hv123_01,grade of education during current school year,,,
hv123_02,grade of education during current school year,,,
hv123_03,grade of education during current school year,,,
hv123_04,grade of education during current school year,,,
hv123_05,grade of education during current school year,,,
hv123_06,grade of education during current school year,,,
hv123_07,grade of education during current school year,,,
hv123_08,grade of education during current school year,,,
hv123_09,grade of education during current school year,,,
hv123_10,grade of education during current school year,,,
hv123_11,grade of education during current school year,,,
hv123_12,grade of education during current school year,,,
hv123_13,grade of education during current school year,,,
hv123_14,grade of education during current school year,,,
hv123_15,grade of education during current school year,,,
hv123_16,grade of education during current school year,,,
hv123_17,grade of education during current school year,,,
hv123_18,grade of education during current school year,,,
hv123_19,grade of education during current school year,,,
hv123_20,grade of education during current school year,,,
hv123_21,grade of education during current school year,,,
hv123_22,grade of education during current school year,,,
hv124_01,education in single years - current school year,,,
hv124_02,education in single years - current school year,,,
hv124_03,education in single years - current school year,,,
hv124_04,education in single years - current school year,,,
hv124_05,education in single years - current school year,,,
hv124_06,education in single years - current school year,,,
hv124_07,education in single years - current school year,,,
hv124_08,education in single years - current school year,,,
hv124_09,education in single years - current school year,,,
hv124_10,education in single years - current school year,,,
hv124_11,education in single years - current school year,,,
hv124_12,education in single years - current school year,,,
hv124_13,education in single years - current school year,,,
hv124_14,education in single years - current school year,,,
hv124_15,education in single years - current school year,,,
hv124_16,education in single years - current school year,,,
hv124_17,education in single years - current school year,,,
hv124_18,education in single years - current school year,,,
hv124_19,education in single years - current school year,,,
hv124_20,education in single years - current school year,,,
hv124_21,education in single years - current school year,,,
hv124_22,education in single years - current school year,,,
hv140_01,member has a birth certificate,,,
hv140_02,member has a birth certificate,,,
hv140_03,member has a birth certificate,,,
hv140_04,member has a birth certificate,,,
hv140_05,member has a birth certificate,,,
hv140_06,member has a birth certificate,,,
hv140_07,member has a birth certificate,,,
hv140_08,member has a birth certificate,,,
hv140_09,member has a birth certificate,,,
hv140_10,member has a birth certificate,,,
hv140_11,member has a birth certificate,,,
hv140_12,member has a birth certificate,,,
hv140_13,member has a birth certificate,,,
hv140_14,member has a birth certificate,,,
hv140_15,member has a birth certificate,,,
hv140_16,member has a birth certificate,,,
hv140_17,member has a birth certificate,,,
hv140_18,member has a birth certificate,,,
hv140_19,member has a birth certificate,,,
hv140_20,member has a birth certificate,,,
hv140_21,member has a birth certificate,,,
hv140_22,member has a birth certificate,,,
idxh4_01,index to household schedule,,,
idxh4_02,index to household schedule,,,
idxh4_03,index to household schedule,,,
idxh4_04,index to household schedule,,,
idxh4_05,index to household schedule,,,
idxh4_06,index to household schedule,,,
idxh4_07,index to household schedule,,,
idxh4_08,index to household schedule,,,
idxh4_09,index to household schedule,,,
idxh4_10,index to household schedule,,,
idxh4_11,index to household schedule,,,
idxh4_12,index to household schedule,,,
idxh4_13,index to household schedule,,,
idxh4_14,index to household schedule,,,
idxh4_15,index to household schedule,,,
idxh4_16,index to household schedule,,,
idxh4_17,index to household schedule,,,
idxh4_18,index to household schedule,,,
idxh4_19,index to household schedule,,,
idxh4_20,index to household schedule,,,
idxh4_21,index to household schedule,,,
idxh4_22,index to household schedule,,,
sh03_01,relationship to head,,,
sh03_02,relationship to head,,,
sh03_03,relationship to head,,,
sh03_04,relationship to head,,,
sh03_05,relationship to head,,,
sh03_06,relationship to head,,,
sh03_07,relationship to head,,,
sh03_08,relationship to head,,,
sh03_09,relationship to head,,,
sh03_10,relationship to head,,,
sh03_11,relationship to head,,,
sh03_12,relationship to head,,,
sh03_13,relationship to head,,,
sh03_14,relationship to head,,,
sh03_15,relationship to head,,,
sh03_16,relationship to head,,,
sh03_17,relationship to head,,,
sh03_18,relationship to head,,,
sh03_19,relationship to head,,,
sh03_20,relationship to head,,,
sh03_21,relationship to head,,,
sh03_22,relationship to head,,,
sh11_01,eligible children 0-5 years,,,
sh11_02,eligible children 0-5 years,,,
sh11_03,eligible children 0-5 years,,,
sh11_04,eligible children 0-5 years,,,
sh11_05,eligible children 0-5 years,,,
sh11_06,eligible children 0-5 years,,,
sh11_07,eligible children 0-5 years,,,
sh11_08,eligible children 0-5 years,,,
sh11_09,eligible children 0-5 years,,,
sh11_10,eligible children 0-5 years,,,
sh11_11,eligible children 0-5 years,,,
sh11_12,eligible children 0-5 years,,,
sh11_13,eligible children 0-5 years,,,
sh11_14,eligible children 0-5 years,,,
sh11_15,eligible children 0-5 years,,,
sh11_16,eligible children 0-5 years,,,
sh11_17,eligible children 0-5 years,,,
sh11_18,eligible children 0-5 years,,,
sh11_19,eligible children 0-5 years,,,
sh11_20,eligible children 0-5 years,,,
sh11_21,eligible children 0-5 years,,,
sh11_22,eligible children 0-5 years,,,
sh11a_01,eligible children 0-14 years,,,
sh11a_02,eligible children 0-14 years,,,
sh11a_03,eligible children 0-14 years,,,
sh11a_04,eligible children 0-14 years,,,
sh11a_05,eligible children 0-14 years,,,
sh11a_06,eligible children 0-14 years,,,
sh11a_07,eligible children 0-14 years,,,
sh11a_08,eligible children 0-14 years,,,
sh11a_09,eligible children 0-14 years,,,
sh11a_10,eligible children 0-14 years,,,
sh11a_11,eligible children 0-14 years,,,
sh11a_12,eligible children 0-14 years,,,
sh11a_13,eligible children 0-14 years,,,
sh11a_14,eligible children 0-14 years,,,
sh11a_15,eligible children 0-14 years,,,
sh11a_16,eligible children 0-14 years,,,
sh11a_17,eligible children 0-14 years,,,
sh11a_18,eligible children 0-14 years,,,
sh11a_19,eligible children 0-14 years,,,
sh11a_20,eligible children 0-14 years,,,
sh11a_21,eligible children 0-14 years,,,
sh11a_22,eligible children 0-14 years,,,
sh17a_01,level of education attended 3 yrs or older,,,
sh17a_02,level of education attended 3 yrs or older,,,
sh17a_03,level of education attended 3 yrs or older,,,
sh17a_04,level of education attended 3 yrs or older,,,
sh17a_05,level of education attended 3 yrs or older,,,
sh17a_06,level of education attended 3 yrs or older,,,
sh17a_07,level of education attended 3 yrs or older,,,
sh17a_08,level of education attended 3 yrs or older,,,
sh17a_09,level of education attended 3 yrs or older,,,
sh17a_10,level of education attended 3 yrs or older,,,
sh17a_11,level of education attended 3 yrs or older,,,
sh17a_12,level of education attended 3 yrs or older,,,
sh17a_13,level of education attended 3 yrs or older,,,
sh17a_14,level of education attended 3 yrs or older,,,
sh17a_15,level of education attended 3 yrs or older,,,
sh17a_16,level of education attended 3 yrs or older,,,
sh17a_17,level of education attended 3 yrs or older,,,
sh17a_18,level of education attended 3 yrs or older,,,
sh17a_19,level of education attended 3 yrs or older,,,
sh17a_20,level of education attended 3 yrs or older,,,
sh17a_21,level of education attended 3 yrs or older,,,
sh17a_22,level of education attended 3 yrs or older,,,
sh17b_01,highest grade completed 3 yrs or older,,,
sh17b_02,highest grade completed 3 yrs or older,,,
sh17b_03,highest grade completed 3 yrs or older,,,
sh17b_04,highest grade completed 3 yrs or older,,,
sh17b_05,highest grade completed 3 yrs or older,,,
sh17b_06,highest grade completed 3 yrs or older,,,
sh17b_07,highest grade completed 3 yrs or older,,,
sh17b_08,highest grade completed 3 yrs or older,,,
sh17b_09,highest grade completed 3 yrs or older,,,
sh17b_10,highest grade completed 3 yrs or older,,,
sh17b_11,highest grade completed 3 yrs or older,,,
sh17b_12,highest grade completed 3 yrs or older,,,
sh17b_13,highest grade completed 3 yrs or older,,,
sh17b_14,highest grade completed 3 yrs or older,,,
sh17b_15,highest grade completed 3 yrs or older,,,
sh17b_16,highest grade completed 3 yrs or older,,,
sh17b_17,highest grade completed 3 yrs or older,,,
sh17b_18,highest grade completed 3 yrs or older,,,
sh17b_19,highest grade completed 3 yrs or older,,,
sh17b_20,highest grade completed 3 yrs or older,,,
sh17b_21,highest grade completed 3 yrs or older,,,
sh17b_22,highest grade completed 3 yrs or older,,,
sh19a_01,level of education attending 3-24 yrs old,,,
sh19a_02,level of education attending 3-24 yrs old,,,
sh19a_03,level of education attending 3-24 yrs old,,,
sh19a_04,level of education attending 3-24 yrs old,,,
sh19a_05,level of education attending 3-24 yrs old,,,
sh19a_06,level of education attending 3-24 yrs old,,,
sh19a_07,level of education attending 3-24 yrs old,,,
