var,varDescrip,Keep,renamedVar,module,notes,
m1,number of tetanus injections before birth,,,kids,,
m1a,number of tetanus injections before pregnancy,,,kids,,
m1d,years ago received last tetanus injection before pregnancy,,,kids,,
m17,delivery by caesarean section,,,kids,,
m18,size of child at birth,,,kids,,
m19,birth weight in kilograms (3 decimals),,,kids,,
m19a,weight at birth/recall,,,kids,,
m28,flag for amenorrhea,,,kids,,
m29,flag for abstinence,,,kids,,
m34,when child put to breast,,,kids,,
m38,drank from bottle with nipple yesterday/last night,,,kids,,
m39a,"did eat any solid, semi-solid or soft foods yesterday",,,kids,,
m39,"number of times ate solid, semi-solid or soft food yesterday",,,kids,,
m42c,during pregnancy: blood pressure taken,,,kids,,
m42d,during pregnancy: urine sample taken,,,kids,,
m42e,during pregnancy: blood sample taken,,,kids,,
m43,told about pregnancy complications,,,kids,,
m45,"during pregnancy, given or bought iron tablets/syrup",,,kids,,
m46,days tablets or syrup taken,,,kids,,
m49c,during pregnancy took: coartem for malaria,,,kids,,
m49d,during pregnancy took: quinine for malaria,,,kids,,
m49x,during pregnancy took: other drug for malaria,,,kids,,
m49z,during pregnancy took: don't know,,,kids,,
m49y,during pregnancy took: no drug for malaria,,,kids,,
m50,respondent's check up after delivery,,,kids,,
m51,respondent's checkup after deliver timing,,,kids,,
m52,respondent's health professional checked up after delivery,,,kids,,
m54,received vitamin a dose in first 2 months after delivery,,,kids,,
m55a,"first 3 days, given milk (other than breast milk)",,,kids,,
m55b,"first 3 days, given plain water",,,kids,,
m55c,"first 3 days, given sugar/glucose water",,,kids,,
m55d,"first 3 days, given gripe water",,,kids,,
m55e,"first 3 days, given sugar/salt solution",,,kids,,
m55f,"first 3 days, given fruit juice",,,kids,,
m55g,"first 3 days, given infant formula",,,kids,,
m55h,"first 3 days, given tea/infusions",,,kids,,
m55i,"first 3 days, given honey",,,kids,,
m55j,"first 3 days, given coffee",,,kids,,
m55x,"first 3 days, given other",,,kids,,
m55z,"first 3 days, given nothing",,,kids,,
m57a,antenatal care: respondent's home,,,kids,,
m57b,antenatal care: other home,,,kids,,
m57e,antenatal care: government hospital,,,kids,,
m57f,antenatal care: provincial/district hospital,,,kids,,
m57g,antenatal care: health center,,,kids,,
m57h,antenatal care: health post,,,kids,,
m57i,antenatal care: other public facility,,,kids,,
m57m,antenatal care: clinic,,,kids,,
m57n,antenatal care: polyclinic,,,kids,,
m57o,antenatal care: dispensary,,,kids,,
m57p,antenatal care: other private medical,,,kids,,
m57x,antenatal care: other,,,kids,,
m60,drugs for intestinal parasites during pregnancy,,,kids,,
m62,respondent's health checked before discharge,,,kids,,
m66,respondent's health checked after discharge/delivery at home,,,kids,,
m70,baby postnatal check within 2 months,,,kids,,
m71,time after delivery postnatal check took place,,,kids,,
m72,person who performed postnatal checkup,,,kids,,
m73,place baby was first checked,,,kids,,
hidx,index to birth history,,,kids,,
h1,has health card,,,kids,,
h2,received bcg,,,kids,,
h2d,bcg day,,,kids,,
h2m,bcg month,,,kids,,
h2y,bcg year,,,kids,,
h3,received pentavalent 1,,,kids,,
h3d,pentavalent 1 day,,,kids,,
h3m,pentavalent 1 month,,,kids,,
h3y,pentavalent 1 year,,,kids,,
h4,received polio 1,,,kids,,
h4d,polio 1 day,,,kids,,
h4m,polio 1 month,,,kids,,
h4y,polio 1 year,,,kids,,
h5,received pentavalent 2,,,kids,,
h5d,pentavalent 2 day,,,kids,,
h5m,pentavalent 2 month,,,kids,,
h5y,pentavalent 2 year,,,kids,,
h6,received polio 2,,,kids,,
h6d,polio 2 day,,,kids,,
h6m,polio 2 month,,,kids,,
h6y,polio 2 year,,,kids,,
h7,received pentavalent 3,,,kids,,
h7d,pentavalent 3 day,,,kids,,
h7m,pentavalent 3 month,,,kids,,
h7y,pentavalent 3 year,,,kids,,
h8,received polio 3,,,kids,,
h8d,polio 3 day,,,kids,,
h8m,polio 3 month,,,kids,,
h8y,polio 3 year,,,kids,,
h9,received measles,,,kids,,
h9d,measles day,,,kids,,
h9m,measles month,,,kids,,
h9y,measles year,,,kids,,
h0,received polio 0,,,kids,,
h0d,polio 0 day,,,kids,,
h0m,polio 0 month,,,kids,,
h0y,polio 0 year,,,kids,,
h10,ever had vaccination,,,kids,,
h11,had diarrhea recently,,,kids,,
h11b,blood in the stools,,,kids,,
h12a,diarrhea: government hospital,,,kids,,
h12b,diarrhea: provincial / district hospital,,,kids,,
h12c,diarrhea: health center,,,kids,,
h12d,diarrhea: cs health post,,,kids,,
h12e,diarrhea: cs outreach,,,kids,,
h12f,diarrhea: cs community health worker,,,kids,,
h12i,diarrhea: cs other public facility,,,kids,,
h12j,diarrhea: private hospital/clinic,,,kids,,
h12k,diarrhea: private pharmacy,,,kids,,
h12m,diarrhea: polyclinic,,,kids,,
h12n,diarrhea: dispensary,,,kids,,
h12p,diarrhea: other private medical facility,,,kids,,
h12s,diarrhea: kiosk / shop,,,kids,,
h12t,diarrhea: traditional healer,,,kids,,
h12u,diarrhea: church,,,kids,,
h12v,diarrhea: friend / relative,,,kids,,
h12x,diarrhea: other,,,kids,,
h12y,diarrhea: no treatment,,,kids,,
h12z,diarrhea: medical treatment,,,kids,,
h13,given oral rehydration,,,kids,,
h14,given recommended home solution,,,kids,,
h15,given antibiotic pills or syrups,,,kids,,
h15a,given antimotility,,,kids,,
h15b,given antibiotic injection,,,kids,,
h15c,given intravenous (iv),,,kids,,
h15d,"given home remedy, herbal medicine",,,kids,,
h15f,"given other (not antibiotic, antimotility, zinc)",,,kids,,
h15g,given unknown pill or syrup,,,kids,,
h15h,given non-antibiotic injection,,,kids,,
h15i,given unknown injection,,,kids,,
h20,given other treatment,,,kids,,
h21a,given no treatment,,,kids,,
h21,received any treatment,,,kids,,
h22,had fever in last two weeks,,,kids,,
h31,had cough in last two weeks,,,kids,,
h31b,"short, rapid breaths",,,kids,,
h31c,problem in the chest or blocked or running nose,,,kids,,
h31d,had fever/cough in last 2 weeks: amount offered to drink,,,kids,,
h31e,had fever/cough in last 2 weeks: amount offered to eat,,,kids,,
h32a,fever/cough: government hospital,,,kids,,
h32b,fever/cough: provincial / district hospital,,,kids,,
h32c,fever/cough: health center,,,kids,,
h32d,fever/cough: health post,,,kids,,
h32e,fever/cough: outreach,,,kids,,
h32f,fever/cough: community health worker,,,kids,,
h32i,fever/cough: other public facility,,,kids,,
h32j,fever/cough: clinic,,,kids,,
h32k,fever/cough: pharmacy,,,kids,,
h32m,fever/cough: polyclinic,,,kids,,
h32n,fever/cough: dispensary,,,kids,,
h32p,fever/cough: other private facility,,,kids,,
h32s,fever/cough: kiosk / shop,,,kids,,
h32t,fever/cough: traditional healer,,,kids,,
h32u,fever/cough: church,,,kids,,
h32v,fever/cough: friend / relative,,,kids,,
h32x,fever/cough: other,,,kids,,
h32y,fever/cough: no treatment,,,kids,,
h32z,fever/cough: medical treatment,,,kids,,
h33,received vitamin a1 (most recent),,,kids,,
h33d,vitamin a1 day,,,kids,,
h33m,vitamin a1 month,,,kids,,
h33y,vitamin a1 year,,,kids,,
h34,vitamin a in last 6 months,,,kids,,
h38,diarrhea in last 2 weeks: amount offered to drink,,,kids,,
h39,diarrhea in last 2 weeks: amount offered to eat,,,kids,,
h43,drugs for intestinal parasites in last 6 months,,,kids,,
h44a,place first sought treatment for diarrhea,,,kids,,
h46a,place first sought treatment for fever,,,kids,,
h47,blood taken from child's finger/heel for testing,,,kids,,
hw6,height/age percent of ref. median,,,kids,,
hw9,weight/age percent of ref. median,,,kids,,
hw12,weight/height percent of ref. median,,,kids,,
hw13,result of measurement - height/weight,,,kids,,
hw15,height: lying or standing,,,kids,,
hw16,day of birth of child,,,kids,,
hw17,date measured (day),,,kids,,
hw18,date measured (month),,,kids,,
hw19,date measured (year),,,kids,,
hw51,line number of parent/caretaker,,,kids,,
hw52,read consent statement - hemoglobin,,,kids,,
hw53,hemoglobin level (g/dl - 1 decimal),,,kids,,
hw55,result of measurement - hemoglobin,,,kids,,
hw56,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,kids,,
hw57,anemia level,,,kids,,
hw70,height/age standard deviation (new who),,,kids,,
hw71,weight/age standard deviation (new who),,,kids,,
hw72,weight/height standard deviation (new who),,,kids,,
hw73,bmi standard deviation (new who),,,kids,,
idxml,index to birth history,,,kids,,
ml0,type of mosquito bed net(s) child slept under last night,,,kids,,
ml13d,quinine taken for fever/cough,,,kids,,
ml13e,coartem - combination with artemisinin taken for fever/cough,,,kids,,
ml13f,primo,,,kids,,
ml13h,other antimalarial taken for fever/cough,,,kids,,
ml13i,antibiotic pill/syrup taken for fever/cough,,,kids,,
ml13j,antibiotic injection taken for fever/cough,,,kids,,
ml13k,aspirin taken for fever/cough,,,kids,,
ml13l,acetaminophen/paracetamol/panadol taken for fever/cough,,,kids,,
ml13m,ibuprofen taken for fever/cough,,,kids,,
ml13n,homemade medicine for fever/cough,,,kids,,
ml13x,other taken for fever/cough,,,kids,,
ml13y,nothing taken for fever/cough,,,kids,,
ml13z,don't know if or what was taken for fever/cough,,,kids,,
ml18a,timing of start of quinine,,,kids,,
ml20a,timing of start of coartem,,,kids,,
ml21a,timing of start of primo,,,kids,,
ml23a,timing of start of other anti-malarial use,,,kids,,
idx94,index to birth history,,,kids,,
s412b,months pregnant at second antenatal care,,,kids,,
s412d,months pregnant at third antenatal care,,,kids,,
s412f,months pregnant at fourth antenatal care,,,kids,,
s425aa,where got antimalarial drug - reference hospital,,,kids,,
s425ab,where got antimalarial drug - district hospital,,,kids,,
s425ac,where got antimalarial drug - health center,,,kids,,
s425ad,where got antimalarial drug - health post,,,kids,,
s425ae,where got antimalarial drug - outreach,,,kids,,
s425af,where got antimalarial drug - health worker,,,kids,,
s425ai,where got antimalarial drug - other public facility,,,kids,,
s425aj,where got antimalarial drug - clinic,,,kids,,
s425ak,where got antimalarial drug - pharmacy,,,kids,,
s425am,where got antimalarial drug - polyclinic,,,kids,,
s425an,where got antimalarial drug - dispensary,,,kids,,
s425ap,where got antimalarial drug - other private facility,,,kids,,
s425as,where got antimalarial drug - kiosk,,,kids,,
s425at,where got antimalarial drug - traditional healer,,,kids,,
s425au,where got antimalarial drug - church,,,kids,,
s425av,where got antimalarial drug - friend relative,,,kids,,
s425ax,where got antimalarial drug - other,,,kids,,
s435a,how traveled to health facility to deliver by caesarean,,,kids,,
s452u,time without sexual intercourse - unit,,,kids,,
s452n,time without sexual intercourse - number,,,kids,,
s460b,why delivered at home,,,kids,,
idx95,index to birth history,,,kids,,
s506n1,received pneumococcal 1,,,kids,,
s506n1d,pneumococcal 1 day,,,kids,,
s506n1m,pneumococcal 1 month,,,kids,,
s506n1y,pneumococcal 1 year,,,kids,,
s506n2,received pneumococcal 2,,,kids,,
s506n2d,pneumococcal 2 day,,,kids,,
s506n2m,pneumococcal 2 month,,,kids,,
s506n2y,pneumococcal 2 year,,,kids,,
s506n3,received pneumococcal 3,,,kids,,
s506n3d,pneumococcal 3 day,,,kids,,
s506n3m,pneumococcal 3 month,,,kids,,
s506n3y,pneumococcal 3 year,,,kids,,
s506r1,received rotavirus 1,,,kids,,
s506r1d,rotavirus 1 day,,,kids,,
s506r1m,rotavirus 1  month,,,kids,,
s506r1y,rotavirus 1 year,,,kids,,
s506r2,received rotavirus 2,,,kids,,
s506r2d,rotavirus 2 day,,,kids,,
s506r2m,rotavirus 2  month,,,kids,,
s506r2y,rotavirus 2 year,,,kids,,
s506r3,received rotavirus 3,,,kids,,
s506r3d,rotavirus 3 day,,,kids,,
s506r3m,rotavirus 3  month,,,kids,,
s506r3y,rotavirus 3 year,,,kids,,
s506mr,received mmr,,,kids,,
s506mrd,mmr day,,,kids,,
s506mrm,mmr month,,,kids,,
s506mry,mmr year,,,kids,,
s517b,continue to breastfeed while he/she had diarrhea (last birth only),,,kids,,
s561a,heard of counseling or education on nutrition,,,kids,,
s561ba,where did hear about nutritional education - health facility,,,kids,,
s561bb,where did hear about nutritional education - community health worker,,,kids,,
s561bc,where did hear about nutritional education - friends/relatives,,,kids,,
s561bd,where did hear about nutritional education - magazine/newspaper/radio/tv,,,kids,,
s561bx,where did hear about nutritional education - other,,,kids,,
