"","var","varDescrip","module"
"211","b4_07","sex of child","women"
"212","b4_08","sex of child","women"
"213","b4_09","sex of child","women"
"214","b4_10","sex of child","women"
"215","b4_11","sex of child","women"
"216","b4_12","sex of child","women"
"217","b4_13","sex of child","women"
"218","b4_14","sex of child","women"
"219","b4_15","sex of child","women"
"220","b4_16","sex of child","women"
"221","b4_17","sex of child","women"
"222","b4_18","sex of child","women"
"223","b4_19","sex of child","women"
"224","b4_20","sex of child","women"
"225","b5_01","child is alive","women"
"226","b5_02","child is alive","women"
"227","b5_03","child is alive","women"
"228","b5_04","child is alive","women"
"229","b5_05","child is alive","women"
"230","b5_06","child is alive","women"
"231","b5_07","child is alive","women"
"232","b5_08","child is alive","women"
"233","b5_09","child is alive","women"
"234","b5_10","child is alive","women"
"235","b5_11","child is alive","women"
"236","b5_12","child is alive","women"
"237","b5_13","child is alive","women"
"238","b5_14","child is alive","women"
"239","b5_15","child is alive","women"
"240","b5_16","child is alive","women"
"241","b5_17","child is alive","women"
"242","b5_18","child is alive","women"
"243","b5_19","child is alive","women"
"244","b5_20","child is alive","women"
"245","b6_01","age at death","women"
"246","b6_02","age at death","women"
"247","b6_03","age at death","women"
"248","b6_04","age at death","women"
"249","b6_05","age at death","women"
"250","b6_06","age at death","women"
"251","b6_07","age at death","women"
"252","b6_08","age at death","women"
"253","b6_09","age at death","women"
"254","b6_10","age at death","women"
"255","b6_11","age at death","women"
"256","b6_12","age at death","women"
"257","b6_13","age at death","women"
"258","b6_14","age at death","women"
"259","b6_15","age at death","women"
"260","b6_16","age at death","women"
"261","b6_17","age at death","women"
"262","b6_18","age at death","women"
"263","b6_19","age at death","women"
"264","b6_20","age at death","women"
"265","b7_01","age at death (months, imputed)","women"
"266","b7_02","age at death (months, imputed)","women"
"267","b7_03","age at death (months, imputed)","women"
"268","b7_04","age at death (months, imputed)","women"
"269","b7_05","age at death (months, imputed)","women"
"270","b7_06","age at death (months, imputed)","women"
"271","b7_07","age at death (months, imputed)","women"
"272","b7_08","age at death (months, imputed)","women"
"273","b7_09","age at death (months, imputed)","women"
"274","b7_10","age at death (months, imputed)","women"
"275","b7_11","age at death (months, imputed)","women"
"276","b7_12","age at death (months, imputed)","women"
"277","b7_13","age at death (months, imputed)","women"
"278","b7_14","age at death (months, imputed)","women"
"279","b7_15","age at death (months, imputed)","women"
"280","b7_16","age at death (months, imputed)","women"
"281","b7_17","age at death (months, imputed)","women"
"282","b7_18","age at death (months, imputed)","women"
"283","b7_19","age at death (months, imputed)","women"
"284","b7_20","age at death (months, imputed)","women"
"285","b8_01","current age of child","women"
"286","b8_02","current age of child","women"
"287","b8_03","current age of child","women"
"288","b8_04","current age of child","women"
"289","b8_05","current age of child","women"
"290","b8_06","current age of child","women"
"291","b8_07","current age of child","women"
"292","b8_08","current age of child","women"
"293","b8_09","current age of child","women"
"294","b8_10","current age of child","women"
"295","b8_11","current age of child","women"
"296","b8_12","current age of child","women"
"297","b8_13","current age of child","women"
"298","b8_14","current age of child","women"
"299","b8_15","current age of child","women"
"300","b8_16","current age of child","women"
"301","b8_17","current age of child","women"
"302","b8_18","current age of child","women"
"303","b8_19","current age of child","women"
"304","b8_20","current age of child","women"
"305","b9_01","child lives with whom","women"
"306","b9_02","child lives with whom","women"
"307","b9_03","child lives with whom","women"
"308","b9_04","child lives with whom","women"
"309","b9_05","child lives with whom","women"
"310","b9_06","child lives with whom","women"
"311","b9_07","child lives with whom","women"
"312","b9_08","child lives with whom","women"
"313","b9_09","child lives with whom","women"
"314","b9_10","child lives with whom","women"
"315","b9_11","child lives with whom","women"
"316","b9_12","child lives with whom","women"
"317","b9_13","child lives with whom","women"
"318","b9_14","child lives with whom","women"
"319","b9_15","child lives with whom","women"
"320","b9_16","child lives with whom","women"
"321","b9_17","child lives with whom","women"
"322","b9_18","child lives with whom","women"
"323","b9_19","child lives with whom","women"
"324","b9_20","child lives with whom","women"
"325","b10_01","completeness of information","women"
"326","b10_02","completeness of information","women"
"327","b10_03","completeness of information","women"
"328","b10_04","completeness of information","women"
"329","b10_05","completeness of information","women"
"330","b10_06","completeness of information","women"
"331","b10_07","completeness of information","women"
"332","b10_08","completeness of information","women"
"333","b10_09","completeness of information","women"
"334","b10_10","completeness of information","women"
"335","b10_11","completeness of information","women"
"336","b10_12","completeness of information","women"
"337","b10_13","completeness of information","women"
"338","b10_14","completeness of information","women"
"339","b10_15","completeness of information","women"
"340","b10_16","completeness of information","women"
"341","b10_17","completeness of information","women"
"342","b10_18","completeness of information","women"
"343","b10_19","completeness of information","women"
"344","b10_20","completeness of information","women"
"345","b11_01","preceding birth interval (months)","women"
"346","b11_02","preceding birth interval (months)","women"
"347","b11_03","preceding birth interval (months)","women"
"348","b11_04","preceding birth interval (months)","women"
"349","b11_05","preceding birth interval (months)","women"
"350","b11_06","preceding birth interval (months)","women"
"351","b11_07","preceding birth interval (months)","women"
"352","b11_08","preceding birth interval (months)","women"
"353","b11_09","preceding birth interval (months)","women"
"354","b11_10","preceding birth interval (months)","women"
"355","b11_11","preceding birth interval (months)","women"
"356","b11_12","preceding birth interval (months)","women"
"357","b11_13","preceding birth interval (months)","women"
"358","b11_14","preceding birth interval (months)","women"
"359","b11_15","preceding birth interval (months)","women"
"360","b11_16","preceding birth interval (months)","women"
"361","b11_17","preceding birth interval (months)","women"
"362","b11_18","preceding birth interval (months)","women"
"363","b11_19","preceding birth interval (months)","women"
"364","b11_20","preceding birth interval (months)","women"
"365","b12_01","succeeding birth interval (months)","women"
"366","b12_02","succeeding birth interval (months)","women"
"367","b12_03","succeeding birth interval (months)","women"
"368","b12_04","succeeding birth interval (months)","women"
"369","b12_05","succeeding birth interval (months)","women"
"370","b12_06","succeeding birth interval (months)","women"
"371","b12_07","succeeding birth interval (months)","women"
"372","b12_08","succeeding birth interval (months)","women"
"373","b12_09","succeeding birth interval (months)","women"
"374","b12_10","succeeding birth interval (months)","women"
"375","b12_11","succeeding birth interval (months)","women"
"376","b12_12","succeeding birth interval (months)","women"
"377","b12_13","succeeding birth interval (months)","women"
"378","b12_14","succeeding birth interval (months)","women"
"379","b12_15","succeeding birth interval (months)","women"
"380","b12_16","succeeding birth interval (months)","women"
"381","b12_17","succeeding birth interval (months)","women"
"382","b12_18","succeeding birth interval (months)","women"
"383","b12_19","succeeding birth interval (months)","women"
"384","b12_20","succeeding birth interval (months)","women"
"385","b13_01","flag for age at death","women"
"386","b13_02","flag for age at death","women"
"387","b13_03","flag for age at death","women"
"388","b13_04","flag for age at death","women"
"389","b13_05","flag for age at death","women"
"390","b13_06","flag for age at death","women"
"391","b13_07","flag for age at death","women"
"392","b13_08","flag for age at death","women"
"393","b13_09","flag for age at death","women"
"394","b13_10","flag for age at death","women"
"395","b13_11","flag for age at death","women"
"396","b13_12","flag for age at death","women"
"397","b13_13","flag for age at death","women"
"398","b13_14","flag for age at death","women"
"399","b13_15","flag for age at death","women"
"400","b13_16","flag for age at death","women"
"401","b13_17","flag for age at death","women"
"402","b13_18","flag for age at death","women"
"403","b13_19","flag for age at death","women"
"404","b13_20","flag for age at death","women"
"405","b15_01","live birth between births","women"
"406","b15_02","live birth between births","women"
"407","b15_03","live birth between births","women"
"408","b15_04","live birth between births","women"
"409","b15_05","live birth between births","women"
"410","b15_06","live birth between births","women"
"411","b15_07","live birth between births","women"
"412","b15_08","live birth between births","women"
"413","b15_09","live birth between births","women"
"414","b15_10","live birth between births","women"
"415","b15_11","live birth between births","women"
"416","b15_12","live birth between births","women"
"417","b15_13","live birth between births","women"
"418","b15_14","live birth between births","women"
"419","b15_15","live birth between births","women"
"420","b15_16","live birth between births","women"
"421","b15_17","live birth between births","women"
"422","b15_18","live birth between births","women"
"423","b15_19","live birth between births","women"
"424","b15_20","live birth between births","women"
"425","b16_01","child's line number in household","women"
"426","b16_02","child's line number in household","women"
"427","b16_03","child's line number in household","women"
"428","b16_04","child's line number in household","women"
"429","b16_05","child's line number in household","women"
"430","b16_06","child's line number in household","women"
"431","b16_07","child's line number in household","women"
"432","b16_08","child's line number in household","women"
"433","b16_09","child's line number in household","women"
"434","b16_10","child's line number in household","women"
"435","b16_11","child's line number in household","women"
"436","b16_12","child's line number in household","women"
"437","b16_13","child's line number in household","women"
"438","b16_14","child's line number in household","women"
"439","b16_15","child's line number in household","women"
"440","b16_16","child's line number in household","women"
"441","b16_17","child's line number in household","women"
"442","b16_18","child's line number in household","women"
"443","b16_19","child's line number in household","women"
"444","b16_20","child's line number in household","women"
"445","v201","total children ever born","women"
"446","v202","sons at home","women"
"447","v203","daughters at home","women"
"448","v204","sons elsewhere","women"
"449","v205","daughters elsewhere","women"
"450","v206","sons who have died","women"
"451","v207","daughters who have died","women"
"452","v208","births in last five years","women"
"453","v209","births in past year","women"
"454","v210","births in month of interview","women"
"455","v211","date of first birth (cmc)","women"
"456","v212","age of respondent at 1st birth","women"
"457","v213","currently pregnant","women"
"458","v214","duration of current pregnancy","women"
"459","v215","time since last menstrual period","women"
"460","v216","menstruated in last six weeks","women"
"461","v217","knowledge of ovulatory cycle","women"
"462","v218","number of living children","women"
"463","v219","living children + current pregnancy","women"
"464","v220","living children + current pregnancy (grouped)","women"
"465","v221","marriage to first birth interval (months)","women"
"466","v222","last birth to interview (months)","women"
"467","v223","completeness of current pregnancy information","women"
"468","v224","entries in birth history","women"
"469","v225","current pregnancy wanted","women"
"470","v226","time since last period (comp) (months)","women"
"471","v227","flag for last period","women"
"472","v228","ever had a terminated pregnancy","women"
"473","v229","month pregnancy ended","women"
"474","v230","year pregnancy ended","women"
"475","v231","cmc pregnancy ended","women"
"476","v232","completeness of last termination information","women"
"477","v233","months when pregnancy ended","women"
"478","v234","other such pregnancies","women"
"479","v235","index last child prior to maternity-health (calendar)","women"
"480","v237","birth between last and interview","women"
"481","v238","births in last three years","women"
"482","v239","pregnancies terminated before calendar beginning","women"
"483","v240","month of last termination prior to calendar","women"
"484","v241","year of last termination prior to calendar","women"
"485","v242","cmc termination ended prior to calendar","women"
"486","v243","completeness of last termination date prior to calendar","women"
"487","v301","knowledge of any method","women"
"488","v302a","ever used anything or tried to delay or avoid getting pregnant","women"
"489","v304a_01","type of method","women"
"490","v304a_02","type of method","women"
"491","v304a_03","type of method","women"
"492","v304a_04","type of method","women"
"493","v304a_05","type of method","women"
"494","v304a_06","type of method","women"
"495","v304a_07","type of method","women"
"496","v304a_08","type of method","women"
"497","v304a_09","type of method","women"
"498","v304a_10","type of method","women"
"499","v304a_11","type of method","women"
"500","v304a_12","type of method","women"
"501","v304a_13","type of method","women"
"502","v304a_14","type of method","women"
"503","v304a_15","type of method","women"
"504","v304a_16","type of method","women"
"505","v304a_17","type of method","women"
"506","v304a_18","type of method","women"
"507","v304a_19","type of method","women"
"508","v304a_20","type of method","women"
"509","v304_01","knows method","women"
"510","v304_02","knows method","women"
"511","v304_03","knows method","women"
"512","v304_04","knows method","women"
"513","v304_05","knows method","women"
"514","v304_06","knows method","women"
"515","v304_07","knows method","women"
"516","v304_08","knows method","women"
"517","v304_09","knows method","women"
"518","v304_10","knows method","women"
"519","v304_11","knows method","women"
"520","v304_12","knows method","women"
"521","v304_13","knows method","women"
"522","v304_14","knows method","women"
"523","v304_15","knows method","women"
"524","v304_16","knows method","women"
"525","v304_17","knows method","women"
"526","v304_18","knows method","women"
"527","v304_19","knows method","women"
"528","v304_20","knows method","women"
"529","v307_01","method currently used","women"
"530","v307_02","method currently used","women"
"531","v307_03","method currently used","women"
"532","v307_04","method currently used","women"
"533","v307_05","method currently used","women"
"534","v307_06","method currently used","women"
"535","v307_07","method currently used","women"
"536","v307_08","method currently used","women"
"537","v307_09","method currently used","women"
"538","v307_10","method currently used","women"
"539","v307_11","method currently used","women"
"540","v307_12","method currently used","women"
"541","v307_13","method currently used","women"
"542","v307_14","method currently used","women"
"543","v307_15","method currently used","women"
"544","v307_16","method currently used","women"
"545","v307_17","method currently used","women"
"546","v307_18","method currently used","women"
"547","v307_19","method currently used","women"
"548","v307_20","method currently used","women"
"549","v312","current contraceptive method","women"
"550","v313","current use by method type","women"
"551","v315","month of start of use of method","women"
"552","v316","year of start of use of method","women"
"553","v317","date of start of use of method (cmc)","women"
"554","v318","completeness of information","women"
"555","v319","years since sterilization","women"
"556","v320","age at sterilization","women"
"557","v321","marital duration at sterilization","women"
"558","v322","parity at sterilization","women"
"559","v323","brand of pill used","women"
"560","v323a","brand of condom used","women"
"561","v326","last source for current users","women"
"562","v327","last source for users by type","women"
"563","v337","months of use of current method","women"
"564","v359","last method discontinued in last 5 years","women"
"565","v360","reason of last discontinuation","women"
"566","v361","pattern of use","women"
"567","v362","intention to use","women"
"568","v364","contraceptive use and intention","women"
"569","v367","wanted last child","women"
"570","v384a","heard family planning on radio last few months","women"
"571","v384b","heard family planning on tv last few months","women"
"572","v384c","heard family planning in newspaper/magazine last few months","women"
"573","v393","visited by family planning worker last 12 months","women"
"574","v394","visited health facility last 12 months","women"
"575","v395","at health facility, told of family planning","women"
"576","v3a00a","source of family planning for non-users: government hospital","women"
"577","v3a00b","source of family planning for non-users: provincial/district hospital","women"
"578","v3a00c","source of family planning for non-users: health center","women"
"579","v3a00d","source of family planning for non-users: health post","women"
"580","v3a00e","source of family planning for non-users: outreach","women"
"581","v3a00f","source of family planning for non-users: community health worker","women"
"582","v3a00g","source of family planning for non-users: youth center","women"
"583","v3a00i","source of family planning for non-users: other public health facility","women"
"584","v3a00j","source of family planning for non-users: private hospital/clinic","women"
"585","v3a00k","source of family planning for non-users: pharmacy","women"
"586","v3a00m","source of family planning for non-users: polyclinic","women"
"587","v3a00n","source of family planning for non-users: dispensary","women"
"588","v3a00o","source of family planning for non-users: family planning clinic","women"
"589","v3a00p","source of family planning for non-users: other private health facility","women"
"590","v3a00s","source of family planning for non-users: kiosk","women"
"591","v3a00u","source of family planning for non-users: church","women"
"592","v3a00v","source of family planning for non-users: friend/relative","women"
"593","v3a00x","source of family planning for non-users: other","women"
"594","v3a00y","source of family planning for non-users: no source","women"
"595","v3a00z","source of family planning for non-users: any source","women"
"596","v3a02","told about side effects","women"
"597","v3a03","told about side effects by health or family planning worker","women"
"598","v3a04","told how to deal with side effects","women"
"599","v3a05","told about other family planning methods","women"
"600","v3a06","told about other family planning methods by health or family planning worker","women"
"601","v3a07","first source for current method","women"
"602","v3a08a","reason not using: not married","women"
"603","v3a08b","reason not using: not having sex","women"
"604","v3a08c","reason not using: infrequent sex","women"
"605","v3a08d","reason not using: menopausal/hysterectomy","women"
"606","v3a08e","reason not using: subfecund/infecund","women"
"607","v3a08f","reason not using: postpartum amenorrheic","women"
"608","v3a08g","reason not using: breastfeeding","women"
"609","v3a08h","reason not using: fatalistic","women"
"610","v3a08i","reason not using: respondent opposed","women"
"611","v3a08j","reason not using: husband/partner opposed","women"
"612","v3a08k","reason not using: others opposed","women"
"613","v3a08l","reason not using: religious prohibition","women"
"614","v3a08m","reason not using: knows no method","women"
"615","v3a08n","reason not using: knows no source","women"
"616","v3a08p","reason not using: fear of side effects/health concerns","women"
"617","v3a08q","reason not using: lack of access/too far","women"
"618","v3a08r","reason not using: costs too much","women"
"619","v3a08s","reason not using: inconvenient to use","women"
"620","v3a08t","reason not using: interferes with body's processes","women"
"621","v3a08u","reason not using: preferred method not available","women"
"622","v3a08v","reason not using: no method available","women"
"623","v3a08x","reason not using: other","women"
"624","v3a08z","reason not using: don't know","women"
"625","midx_1","index to birth history","women"
"626","midx_2","index to birth history","women"
"627","midx_3","index to birth history","women"
"628","midx_4","index to birth history","women"
"629","midx_5","index to birth history","women"
"630","midx_6","index to birth history","women"
"631","m1_1","number of tetanus injections before birth","women"
"632","m1_2","number of tetanus injections before birth","women"
"633","m1_3","number of tetanus injections before birth","women"
"634","m1_4","number of tetanus injections before birth","women"
"635","m1_5","number of tetanus injections before birth","women"
"636","m1_6","number of tetanus injections before birth","women"
"637","m1a_1","number of tetanus injections before pregnancy","women"
"638","m1a_2","number of tetanus injections before pregnancy","women"
"639","m1a_3","number of tetanus injections before pregnancy","women"
"640","m1a_4","number of tetanus injections before pregnancy","women"
"641","m1a_5","number of tetanus injections before pregnancy","women"
"642","m1a_6","number of tetanus injections before pregnancy","women"
"643","m1d_1","years ago received last tetanus injection before pregnancy","women"
"644","m1d_2","years ago received last tetanus injection before pregnancy","women"
"645","m1d_3","years ago received last tetanus injection before pregnancy","women"
"646","m1d_4","years ago received last tetanus injection before pregnancy","women"
"647","m1d_5","years ago received last tetanus injection before pregnancy","women"
"648","m1d_6","years ago received last tetanus injection before pregnancy","women"
"649","m2a_1","prenatal: doctor","women"
"650","m2a_2","prenatal: doctor","women"
"651","m2a_3","prenatal: doctor","women"
"652","m2a_4","prenatal: doctor","women"
"653","m2a_5","prenatal: doctor","women"
"654","m2a_6","prenatal: doctor","women"
"655","m2b_1","prenatal: nurse/medical assistant","women"
"656","m2b_2","prenatal: nurse/medical assistant","women"
"657","m2b_3","prenatal: nurse/medical assistant","women"
"658","m2b_4","prenatal: nurse/medical assistant","women"
"659","m2b_5","prenatal: nurse/medical assistant","women"
"660","m2b_6","prenatal: nurse/medical assistant","women"
"661","m2c_1","prenatal: midwife","women"
"662","m2c_2","prenatal: midwife","women"
"663","m2c_3","prenatal: midwife","women"
"664","m2c_4","prenatal: midwife","women"
"665","m2c_5","prenatal: midwife","women"
"666","m2c_6","prenatal: midwife","women"
"667","m2g_1","prenatal: traditional healer","women"
"668","m2g_2","prenatal: traditional healer","women"
"669","m2g_3","prenatal: traditional healer","women"
"670","m2g_4","prenatal: traditional healer","women"
"671","m2g_5","prenatal: traditional healer","women"
"672","m2g_6","prenatal: traditional healer","women"
"673","m2h_1","prenatal: community health worker","women"
"674","m2h_2","prenatal: community health worker","women"
"675","m2h_3","prenatal: community health worker","women"
"676","m2h_4","prenatal: community health worker","women"
"677","m2h_5","prenatal: community health worker","women"
"678","m2h_6","prenatal: community health worker","women"
"679","m2i_1","prenatal: community health mother and child","women"
"680","m2i_2","prenatal: community health mother and child","women"
"681","m2i_3","prenatal: community health mother and child","women"
"682","m2i_4","prenatal: community health mother and child","women"
"683","m2i_5","prenatal: community health mother and child","women"
"684","m2i_6","prenatal: community health mother and child","women"
"685","m2m_1","prenatal: other","women"
"686","m2m_2","prenatal: other","women"
"687","m2m_3","prenatal: other","women"
"688","m2m_4","prenatal: other","women"
"689","m2m_5","prenatal: other","women"
"690","m2m_6","prenatal: other","women"
"691","m2n_1","prenatal: no one","women"
"692","m2n_2","prenatal: no one","women"
"693","m2n_3","prenatal: no one","women"
"694","m2n_4","prenatal: no one","women"
"695","m2n_5","prenatal: no one","women"
"696","m2n_6","prenatal: no one","women"
"697","m3a_1","assistance: doctor","women"
"698","m3a_2","assistance: doctor","women"
"699","m3a_3","assistance: doctor","women"
"700","m3a_4","assistance: doctor","women"
"701","m3a_5","assistance: doctor","women"
"702","m3a_6","assistance: doctor","women"
"703","m3b_1","assistance: nurse/medical assistant","women"
"704","m3b_2","assistance: nurse/medical assistant","women"
"705","m3b_3","assistance: nurse/medical assistant","women"
"706","m3b_4","assistance: nurse/medical assistant","women"
"707","m3b_5","assistance: nurse/medical assistant","women"
"708","m3b_6","assistance: nurse/medical assistant","women"
"709","m3c_1","assistance: midwife","women"
"710","m3c_2","assistance: midwife","women"
"711","m3c_3","assistance: midwife","women"
"712","m3c_4","assistance: midwife","women"
"713","m3c_5","assistance: midwife","women"
"714","m3c_6","assistance: midwife","women"
"715","m3g_1","assistance: traditional healer","women"
"716","m3g_2","assistance: traditional healer","women"
"717","m3g_3","assistance: traditional healer","women"
"718","m3g_4","assistance: traditional healer","women"
"719","m3g_5","assistance: traditional healer","women"
"720","m3g_6","assistance: traditional healer","women"
"721","m3h_1","assistance: community health worker","women"
"722","m3h_2","assistance: community health worker","women"
"723","m3h_3","assistance: community health worker","women"
"724","m3h_4","assistance: community health worker","women"
"725","m3h_5","assistance: community health worker","women"
"726","m3h_6","assistance: community health worker","women"
"727","m3i_1","assistance: community health mother and child","women"
"728","m3i_2","assistance: community health mother and child","women"
"729","m3i_3","assistance: community health mother and child","women"
"730","m3i_4","assistance: community health mother and child","women"
"731","m3i_5","assistance: community health mother and child","women"
"732","m3i_6","assistance: community health mother and child","women"
"733","m3j_1","assistance: relatives","women"
"734","m3j_2","assistance: relatives","women"
"735","m3j_3","assistance: relatives","women"
"736","m3j_4","assistance: relatives","women"
"737","m3j_5","assistance: relatives","women"
"738","m3j_6","assistance: relatives","women"
"739","m3k_1","assistance: friends and neighbors","women"
"740","m3k_2","assistance: friends and neighbors","women"
"741","m3k_3","assistance: friends and neighbors","women"
